name,frequency,columns,internal_name,version
"drives","FIVELY","ACS_DRIVE_ID;ALLOCATED_TO;CLEAN_FREQ;DEVICE_TYPE;DRIVE_NAME;DRIVE_SERIAL;DRIVE_STATE;ELEMENT;LAST_UPDATE;LAST_UPDATE_BY;LIBRARY_NAME;ONLINE;READ_FORMATS;VOLUME_NAME;WRITE_FORMATS","DRIVES",1
"occupancy","DAILY","FILESPACE_ID;FILESPACE_NAME;LOGICAL_MB;NODE_NAME;NUM_FILES;PHYSICAL_MB;REPORTING_MB;STGPOOL_NAME;TYPE","OCCUPANCY",1
"summary","NEVER","ACTIVITY;ADDRESS;AFFECTED;BYTES;COMM_WAIT;COMMMETH;DRIVE_NAME;END_TIME;ENTITY;EXAMINED;FAILED;IDLE;LAST_USE;LIBRARY_NAME;MEDIAW;NUM_OFFSITE_VOLS;NUMBER;PROCESSES;SCHEDULE_NAME;START_TIME;SUCCESSFUL;VOLUME_NAME","SUMMARY",1
"groupmember","DAILY","CHG_ADMIN;CHG_TIME;GROUP_NAME;MEMBER_NAME","GROUPMEMBER",1
"filespaces","DAILY","AR_REPLRULE_NAME;AR_REPLRULE_STATE;BACKUP_END;BACKUP_START;BK_REPLRULE_NAME;BK_REPLRULE_STATE;CAPACITY;DELETE_OCCURRED;FILESPACE_HEXNAME;FILESPACE_ID;FILESPACE_NAME;FILESPACE_TYPE;LAST_REPL_COMP;LAST_REPL_START;NODE_NAME;PCT_UTIL;SP_REPLRULE_NAME;SP_REPLRULE_STATE;UNICODE_FILESPACE","FILESPACES",1
"license_details","NEVER","LAST_USED;LICENSE_NAME;NODE_NAME;TRYBUY","LICENSE_DETAILS",1
"vfsmappings","NEVER","FILESPACE_NAME;HEXADECIMAL;NODE_NAME;PATH;VIRTUAL_FS_NAME","VFSMAPPINGS",1
"actlog","NEVER","DATE_TIME;DOMAINNAME;MESSAGE;MSGNO;NODENAME;ORIGINATOR;OWNERNAME;PROCESS;SCHEDNAME;SERVERNAME;SESSID;SESSION;SEVERITY;UNIQUE","ACTLOG",1
"processes","FIVELY","BYTES_PROCESSED;FILES_PROCESSED;PROCESS;PROCESS_NUM;START_TIME;STATUS","PROCESSES",1
"columns","NEVER","COLNAME;COLNO;INDEX_KEYSEQ;INDEX_ORDER;LENGTH;NULLS;REMARKS;SCALE;TABNAME;TABSCHEMA;TYPENAME","COLUMNS",1
"libvolumes","HOURLY","CLEANINGS_LEFT;DEVTYPE;HOME_ELEMENT;LAST_USE;LIBRARY_NAME;MEDIATYPE;OWNER;STATUS;VOLUME_NAME","LIBVOLUMES",1
"libraries","DAILY","ACS_ID;AUTOLABEL;EXTERNAL_MGR;LANFREE;LAST_UPDATE;LAST_UPDATE_BY;LIBRARY_NAME;LIBRARY_SERIAL;LIBRARY_TYPE;OBEYMOUNTRETENTION;PRIMARY_LIB_MGR;PRIVATE_CATEGORY;RELABELSCRATCH;RESETDRIVES;RSM_MEDIATYPE;SCRATCH_CATEGORY;SHARED;WORMSCRATCH_CAT;ZOSMEDIA","LIBRARIES",1
"drmstanza","NEVER","STANZA_NAME","DRMSTANZA",1
"nodes","DAILY","AGGREGATION;ARCHDELETE;AUTO_FS_RENAME;BACKDELETE;BACKUP_INITIATION;CLIENT_HLA;CLIENT_LEVEL;CLIENT_LLA;CLIENT_OS_LEVEL;CLIENT_OS_NAME;CLIENT_PRODUCTS;CLIENT_RELEASE;CLIENT_SUBLEVEL;CLIENT_SYSTEM_ARCHITECTURE;CLIENT_TARGET_LEVEL;CLIENT_TARGET_RELEASE;CLIENT_TARGET_SUBLEVEL;CLIENT_TARGET_VERSION;CLIENT_VERSION;COLLOCGROUP_NAME;COMPRESSION;CONTACT;DATAREADPATH;DATAWRITEPATH;DEDUPLICATION;DOMAIN_NAME;EMAIL_ADDRESS;GUID;HYPERVISOR;INVALID_PW_COUNT;KEEP_MP;LASTACC_TIME;LASTSESS_COMMMETH;LASTSESS_COMMWAIT;LASTSESS_DURATION;LASTSESS_IDLEWAIT;LASTSESS_MEDIAWAIT;LASTSESS_RECVD;LASTSESS_SENT;LOCKED;MACADDR;MAX_MP_ALLOWED;NODE_NAME;NODETYPE;OPTION_SET;PAPI;PASSEXP;PBRAND;PCOUNT;PLATFORM_NAME;PMODEL;PROXY_AGENT;PROXY_TARGET;PTYPE;PVENDOR;PWSET_TIME;REG_ADMIN;REG_TIME;REPL_ARRULE;REPL_BKRULE;REPL_MODE;REPL_SPRULE;REPL_STATE;ROLE;ROLE_O;SCANERROR;SESSION_INITIATION;TCP_ADDRESS;TCP_NAME;TXNGROUPMAX;URL;VALIDATEPROTOCOL","NODES",1
"replicationview","NEVER","ARBYTES_REPL_ERROR_SRC;ARBYTES_REPL_ERROR_TGT;ARBYTES_REPLICATED;ARBYTES_TO_REPLICATE;ARBYTES_TRANSFERRED;ARFILES_CURRENT;ARFILES_DELETE_ERR;ARFILES_DELETED;ARFILES_REPL_ERROR_SRC;ARFILES_REPL_ERROR_TGT;ARFILES_REPLICATED;ARFILES_TO_DELETE;ARFILES_TO_REPL;ARFILES_TO_UPDATE;ARFILES_UPDATE_ERR;ARFILES_UPDATED;ARLAST_UPDATE;ARSERVER;BKBYTES_REPL_ERROR_SRC;BKBYTES_REPL_ERROR_TGT;BKBYTES_REPLICATED;BKBYTES_TO_REPLICATE;BKBYTES_TRANSFERRED;BKFILES_CURRENT;BKFILES_DELETE_ERR;BKFILES_DELETED;BKFILES_REPL_ERROR_SRC;BKFILES_REPL_ERROR_TGT;BKFILES_REPLICATED;BKFILES_TO_DELETE;BKFILES_TO_REPL;BKFILES_TO_UPDATE;BKFILES_UPDATE_ERR;BKFILES_UPDATED;BKLAST_UPDATE;BKSERVER;CMD;COMP_REASON;COMP_STATE;END_TIME;FSID;FSNAME;NODE_NAME;PHASE;PROC_ID;SMBYTES_REPL_ERROR_SRC;SMBYTES_REPL_ERROR_TGT;SMBYTES_REPLICATED;SMBYTES_TO_REPLICATE;SMBYTES_TRANSFERRED;SMFILES_CURRENT;SMFILES_DELETE_ERR;SMFILES_DELETED;SMFILES_REPL_ERROR_SRC;SMFILES_REPL_ERROR_TGT;SMFILES_REPLICATED;SMFILES_TO_DELETE;SMFILES_TO_REPL;SMFILES_TO_UPDATE;SMFILES_UPDATE_ERR;SMFILES_UPDATED;SMLAST_UPDATE;SMSERVER;START_TIME;STATE;TOTBYTES_REPL_ERROR_SRC;TOTBYTES_REPL_ERROR_TGT;TOTBYTES_REPLICATED;TOTBYTES_TO_REPLICATE;TOTBYTES_TRANSFERRED;TOTFILES_CURRENT;TOTFILES_DELETE_ERR;TOTFILES_DELETED;TOTFILES_REPL_ERROR_SRC;TOTFILES_REPL_ERROR_TGT;TOTFILES_REPLICATED;TOTFILES_TO_DELETE;TOTFILES_TO_REPLICATE;TOTFILES_TO_UPDATE;TOTFILES_UPDATE_ERR;TOTFILES_UPDATED;UNICODE_FILESPACE","REPLICATIONVIEW",1
"server_group","NEVER","CHG_ADMIN;CHG_TIME;DESCRIPTION;GROUP_NAME;PROFILE","SERVER_GROUP",1
"cloptsets","DAILY","DESCRIPTION;LAST_UPDATE_BY;OPTIONSET_NAME;PROFILE","CLOPTSETS",1
"servergroup","DAILY","CHG_ADMIN;CHG_TIME;DESCRIPTION;GROUP_NAME;PROFILE","SERVERGROUP",1
"admins","NEVER","ADMIN_NAME;CLIENT_ACCESS;CLIENT_OWNER;CONTACT;EMAIL_ADDRESS;INVALID_PW_COUNT;LASTACC_TIME;LOCKED;OPERATOR_PRIV;PASSEXP;POLICY_PRIV;PROFILE;PWSET_TIME;REG_ADMIN;REG_TIME;STORAGE_PRIV;SYSTEM_PRIV","ADMINS",1
"policysets","DAILY","CHG_ADMIN;CHG_TIME;DEFMGMTCLASS;DESCRIPTION;DOMAIN_NAME;PROFILE;SET_NAME","POLICYSETS",1
"license_pvu","NEVER","BRAND;BRAND_D;END_DATE;MODEL;MODEL_D;START_DATE;TOOL_VERSION;TYPE;TYPE_D;VALUE_UNITS;VENDOR;VENDOR_D","LICENSE_PVU",1
"archives","NEVER","ARCHIVE_DATE;CLASS_NAME;DESCRIPTION;FILESPACE_ID;FILESPACE_NAME;HL_NAME;LL_NAME;NODE_NAME;OBJECT_ID;OWNER;TYPE","ARCHIVES",1
"restores","NEVER","FILESPACE_ID;FILESPACE_NAME;FILESPEC;NODE_NAME;RESTORE_MINUTES;RESTORE_STATE;SESSION","RESTORES",1
"drmpstgpools","NEVER","STGPOOL_NAME","DRMPSTGPOOLS",1
"drmastgpools","NEVER","STGPOOL_NAME","DRMASTGPOOLS",1
"shredstatus","NEVER","OBJECTS_WAITING;OCCUPIED_SPACE;SHREDDING_ACTIVE;WRITES_TO_COMPLETE","SHREDSTATUS",1
"devclasses","DAILY","ACCESS_STRATEGY;CAPACITY;COMPRESSION;DEVCLASS_NAME;DEVTYPE;DIRECTORY;DRIVE_ENCRYPTION;EXPIRATION;FORMAT;HLADDRESS;LAST_UPDATE;LAST_UPDATE_BY;LBPROTECT;LIBRARY_NAME;MINCAPACITY;MOUNTLIMIT;MOUNTRETENTION;MOUNTWAIT;PREFIX;PRIMARYALLOC;PROTECTION;RETENTION;RETRYINTERVAL;RETRYPERIOD;SCALECAPACITY;SECONDARYALLOC;SERVERNAME;SHARED;STGPOOL_COUNT;UNIT;WORM","DEVCLASSES",1
"collocgroup","DAILY","CHG_ADMIN;CHG_TIME;COLLOCGROUP_NAME;DESCRIPTION;NODE_NAME","COLLOCGROUP",1
"prof_associations","DAILY","ASSOC_OBJECT;CONFIG_MANAGER;OBJECT_NAME;PROFILE_NAME","PROF_ASSOCIATIONS",1
